index,headline,label,risk_category,risk_label
1910,Banks consolidate branch employees amid staff shortage,Negative,REGULATORY_RISK,3
1911,Why Investors Are Toning Down Climate Demands,Negative,MARKET_RISK,1
1912,How to interpret the new round of Netflix layoffs,Negative,COMPANY_RISK,2
1913,Huntington Banchares stock down after earnings miss,Negative,REGULATORY_RISK,3
1914,Golf as a Great Equalizer,Negative,COMPANY_RISK,2
1915,"UPDATE 2-Videogame publisher Activision illegally threatened staff, U.S. agency says",Negative,COMPANY_RISK,2
1916,ServiceLink scaling back HQ presence at Pittsburgh International Business Park,Negative,COMPANY_RISK,2
1917,Textron buys electric aircraft company Pipistrel,Negative,COMPANY_RISK,2
1918,Ralph Lauren Gets a Downgrade by Wells Fargo on Macro Outlook,Negative,MARKET_RISK,1
1919,"The 7 Worst Housing Markets in America, According to Lennar",Negative,MARKET_RISK,1
1920,Why Shares of Guardant Health Dropped 33.6% in May,Negative,COMPANY_RISK,2
1921,"Stock Market Today: Dow Slips as Intel Caution, Rising Bond Yields Dent Tech",Negative,MARKET_RISK,1
1922,"Hewlett Packard Enterprise stock falls on revised 2022 guidance, Q2 earnings miss",Negative,COMPANY_RISK,2
1923,"Aptiv Tops Expectations but Chip Shortage Will Continue to Hit Self-Driving Cars, EVs.",Negative,COMPANY_RISK,2
1924,Is Now An Opportune Moment To Examine Howmet Aerospace Inc. (NYSE:HWM)?,Negative,COMPANY_RISK,2
1925,Here's Why You Should Hold on to LKQ Stock for the Moment,Negative,COMPANY_RISK,2
1926,Analysts Estimate BorgWarner (BWA) to Report a Decline in Earnings: What to Look Out for,Negative,COMPANY_RISK,2
1927,A Lack of Golden Screws Means More Trouble for the Stock Market,Negative,MARKET_RISK,1
1928,"Fluor's (FLR) Q4 Earnings Beat, Revenues Lag, Stock Down",Negative,MARKET_RISK,1
1929,"Conagra misses earnings expectations, raises sales guidance",Negative,COMPANY_RISK,2
1930,T. Rowe (TROW) April AUM Down 8.5% on Unfavorable Markets,Negative,MARKET_RISK,1
1931,Why Is Outfront Media (OUT) Down 14.7% Since Last Earnings Report?,Negative,MARKET_RISK,1
1932,Earnings Preview: Qorvo (QRVO) Q3 Earnings Expected to Decline,Negative,COMPANY_RISK,2
1933,"Travel expert: Expect more airline disruption, delays, and cancellations",Negative,COMPANY_RISK,2
1934,"Under Armour CEO's exit worries Wall Street, investors",Negative,COMPANY_RISK,2
1935,"Walmart still under pressure amid rampant inflation, specifically gas prices",Negative,MARKET_RISK,1
1936,"Tesla (TSLA) CEO Offloads More Shares, Concludes Trading Plan",Negative,COMPANY_RISK,2
1937,This Company Had to Close a Warehouse for a Really Gross Reason,Negative,COMPANY_RISK,2
1938,MSCI (MSCI) Down 0.2% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
1939,Why Norwegian Cruise Line Stock Sank Today,Negative,COMPANY_RISK,2
1940,Jm Smucker Co (SJM) CFO Tucker H Marshall Sold $1.4 million of Shares,Negative,COMPANY_RISK,2
1941,Applied Materials earnings constrained by supply chain disruptions,Negative,COMPANY_RISK,2
1942,Analysts Estimate Juniper Networks (JNPR) to Report a Decline in Earnings: What to Look Out for,Negative,COMPANY_RISK,2
1943,U.S. Bank building may be converted to juvenile detention center,Negative,REGULATORY_RISK,3
1944,"Ralph Lauren, Vans parent VF Corp. and off-price retailer TJX downgraded as 2022 fashion outlook grows more gloomy",Negative,MARKET_RISK,1
1945,Biogen Inc. (BIIB) Q1 Earnings Miss Estimates,Negative,COMPANY_RISK,2
1946,Deutsche Bank cuts Apple price target in note cautious on IT hardware sector,Negative,REGULATORY_RISK,3
1947,NortonLifeLock Slips on Morgan Stanley Downgrade,Negative,MARKET_RISK,1
1948,BlackRock Again Tops Broadridge's Fund Brand 50 Global Asset Manager Rankings,Negative,COMPANY_RISK,2
1949,Why the Earnings Surprise Streak Could Continue for General Dynamics (GD),Negative,COMPANY_RISK,2
1950,Flowserve (NYSE:FLS) investors are sitting on a loss of 18% if they invested five years ago,Negative,COMPANY_RISK,2
